ANO,MES,SETOR,QUANT,FOB,UF,PAIS,NOME_PAIS
2025,11,FRUTAS,0.00031,0.000201,ES,BRA,Brasil
2025,1,PFLOREST,0.007062,0.013483,SC,MEX,México
2025,4,CHAMATE,1e-06,1.5e-05,ES,PAN,Panamá
2025,1,PHORTIC,0.048,0.03806,PA,PAK,Paquistão
2025,4,LACTEOS,3.7e-05,0.000502,RS,SGP,Cingapura
2025,3,PHORTIC,7.4e-05,0.000124,SP,THA,Tailândia
2025,3,CSUCRO,2e-05,5.9e-05,RS,LBR,Libéria
2025,1,CAR_OUT,1e-06,1.4e-05,ES,SGP,Cingapura
2025,2,CAR_SUI,3e-05,0.000145,BA,LBR,Libéria
2025,2,FRUTAS,1.5e-05,1.1e-05,SC,BHS,Bahamas
2025,7,FRUTAS,4e-05,7.3e-05,RJ,GRC,Grécia
2025,7,CAR_OUT,1.5e-05,5.8e-05,MA,GRC,Grécia
2025,1,PFLOREST,0.070462,0.061748,SP,NZL,Nova Zelândia
2025,12,PFLOREST,0.620813,1.878181,SP,ARG,Argentina
2025,2,PADIVER,3e-06,1.1e-05,AL,SGP,Cingapura
2025,6,CEREAIS,0.000186,0.000152,SP,THA,Tailândia
2025,4,PHORTIC,1e-05,1.1e-05,MA,CHN,China
2025,1,CAR_BOV,0.041135,0.042716,MS,SLE,Serra Leoa
2025,9,FRUTAS,0.003024,0.00466,ES,CHE,Suíça
2025,1,PESCADOS,0.00015,0.000261,SP,PAN,Panamá
2025,7,PESCADOS,1.5e-05,0.000267,MA,NOR,Noruega
2025,12,CAFE,1.2e-05,0.000204,ES,MHL,"Marshall, Ilhas"
2025,8,LACTEOS,1e-05,0.000229,PR,MHL,"Marshall, Ilhas"
2025,12,FRUTAS,3e-05,5.3e-05,PR,BHS,Bahamas
2025,6,FRUTAS,0.048576,0.026928,MG,CHL,Chile
2025,3,PHORTIC,8e-06,3.3e-05,SC,PAN,Panamá
2025,4,FIBRAS,0.000354,0.005907,SC,PRY,Paraguai
2025,2,POLEAG,0.038976,0.074114,SP,URY,Uruguai
2025,8,PHORTIC,8e-06,1.7e-05,AL,TUR,Turquia
2025,11,PESCADOS,2e-05,0.000226,ES,NOR,Noruega
2025,4,PHORTIC,4e-06,8e-06,RS,CYM,"Cayman, Ilhas"
2025,9,OPORVEG,4.8e-05,0.002033,RJ,AGO,Angola
2025,7,FIBRAS,2e-06,0.000295,MG,PRY,Paraguai
2025,9,CAR_BOV,0.000568,0.001615,RO,GAB,Gabão
2025,7,PADIVER,3e-06,3.3e-05,RJ,LBR,Libéria
2025,7,PHORTIC,2.3e-05,0.000185,SP,GRC,Grécia
2025,9,PFLOREST,0.026741,0.021272,PR,ITA,Itália
2025,12,PADIVER,0.001555,0.021398,SP,USA,Estados Unidos
2025,8,PFLOREST,4.608,2.516083,MS,KOR,Coreia do Sul
2025,12,OPORVEG,0.000261,0.019351,SP,USA,Estados Unidos
2025,12,BEBIDAS,0.000923,0.000875,BA,GRC,Grécia
2025,5,FRUTAS,0.000561,0.001161,ES,SGP,Cingapura
2025,11,PHORTIC,1.1e-05,3.5e-05,SC,HKG,Hong Kong
2025,4,BEBIDAS,9e-06,9.1e-05,SP,THA,Tailândia
2025,10,LACTEOS,7e-06,0.000141,SP,MHL,"Marshall, Ilhas"
2025,9,PHORTIC,0.000388,0.00033,SP,DNK,Dinamarca
2025,12,CSUCRO,2e-05,4.6e-05,SC,PAN,Panamá
2025,5,FRUTAS,0.0,5e-06,AL,PAN,Panamá
2025,11,PFLOREST,0.026767,0.014334,SC,MEX,México
2025,2,APICOLAS,9e-06,7.4e-05,ES,HKG,Hong Kong
2025,9,CAR_OUT,2.1e-05,0.000145,SP,FRA,França
2025,2,PHORTIC,1e-05,6.6e-05,ES,PAN,Panamá
2025,9,RACOES,0.001,0.00167,SP,AUS,Austrália
2025,8,PADIVER,0.004809,0.014163,RS,KEN,Quênia
2025,5,BEBIDAS,0.008484,0.046891,MG,USA,Estados Unidos
2025,3,CSOJA,3e-06,5e-06,AL,PAN,Panamá
