ANO,MES,SETOR,QUANT,FOB,UF,PAIS,NOME_PAIS
2026,1,CAR_BOV,0.001785,0.007385,SP,CHE,Suíça
2026,5,PHORTIC,5e-06,3.7e-05,BA,NLD,Países Baixos (Holanda)
2026,5,FRUTAS,5e-06,5.4e-05,MA,CHN,China
2026,1,FRUTAS,0.010129,0.025298,PR,PRY,Paraguai
2026,4,PFLOREST,0.7448,0.371449,SC,ITA,Itália
2026,1,PFLOREST,0.143744,0.065659,SC,PRT,Portugal
2026,3,PADIVER,5e-06,4.8e-05,ES,HKG,Hong Kong
2026,8,PHORTIC,1.5e-05,2e-05,RJ,MYS,Malásia
2026,3,PADIVER,6.2e-05,0.000467,SP,JPN,Japão
2026,6,FRUTAS,6.7e-05,0.000502,SP,LBR,Libéria
2026,3,FRUTAS,5.5e-05,0.000115,SP,ATG,Antígua e Barbuda
2026,8,FIBRAS,0.000214,0.011397,SC,PRY,Paraguai
2026,2,PADIVER,1e-05,3.3e-05,PR,BHS,Bahamas
2026,4,PHORTIC,0.00037,0.000717,SP,MLT,Malta
2026,1,PHORTIC,5.9e-05,0.000111,SP,SGP,Cingapura
2026,6,FRUTAS,5e-05,5.6e-05,SP,CYP,Chipre
2026,7,PADIVER,1.5e-05,4e-05,RJ,GRC,Grécia
2026,3,PFLOREST,0.940367,0.98524,RS,CHL,Chile
2026,1,PFLOREST,0.022033,0.009778,SC,TUN,Tunísia
2026,8,PADIVER,0.000144,0.000225,SC,MEX,México
2026,7,FIBRAS,6.5e-05,0.002166,SC,DOM,República Dominicana
2026,7,FRUTAS,1e-05,7e-06,SC,LBR,Libéria
2026,7,FRUTAS,1e-06,5e-06,PR,LBR,Libéria
2026,2,CAR_BOV,20.139497,110.499928,SP,CHN,China
2026,1,FIBRAS,7e-06,8.8e-05,RJ,PAN,Panamá
2026,4,PESCADOS,1.4e-05,0.000153,ES,PAN,Panamá
2026,3,FRUTAS,1e-06,3e-05,ES,PAN,Panamá
2026,7,COUROS,0.016265,0.154738,SC,HUN,Hungria
2026,7,ANI_VIV,0.00938,0.296444,RS,URY,Uruguai
2026,7,PADIVER,1e-06,4e-06,SC,ATG,Antígua e Barbuda
2026,7,PHORTIC,2.1e-05,0.000123,RS,LBR,Libéria
2026,8,PESCADOS,2.1e-05,0.000302,RJ,LBR,Libéria
2026,4,PHORTIC,1.3e-05,7.8e-05,BA,MHL,"Marshall, Ilhas"
2026,2,PHORTIC,2.3e-05,9e-05,ES,BRA,Brasil
2026,6,PHORTIC,3e-06,4.2e-05,BA,LBR,Libéria
2026,4,BEBIDAS,0.000124,0.000707,ES,PAN,Panamá
2026,2,CSOJA,0.00011,0.000172,MA,MHL,"Marshall, Ilhas"
2026,2,CAR_SUI,9.3e-05,0.000687,MA,MHL,"Marshall, Ilhas"
2026,6,POLEAG,0.000689,0.017725,SP,COL,Colômbia
2026,1,CEREAIS,3.8e-05,0.000168,SP,PRT,Portugal
2026,8,LACTEOS,1.2e-05,0.000156,SP,SGP,Cingapura
2026,8,PFLOREST,0.024245,0.016972,PR,PRY,Paraguai
2026,1,PESCADOS,2e-05,0.000202,SC,MLT,Malta
2026,7,PHORTIC,0.000234,0.000476,RJ,PAN,Panamá
2026,3,FRUTAS,0.093312,0.090892,BA,CHL,Chile
2026,2,PHORTIC,4.5e-05,4.4e-05,MA,SGP,Cingapura
2026,6,CAR_FRA,0.000122,0.000508,RJ,PAN,Panamá
2026,8,PFLOREST,0.905315,0.539055,SC,MEX,México
2026,3,CAR_SUI,0.0195,0.036775,SC,CUW,Curaçao
2026,7,FIBRAS,0.000141,0.001984,SP,PRY,Paraguai
2026,4,CHAMATE,6e-06,8.5e-05,SP,LBR,Libéria
2026,1,BEBIDAS,0.000241,0.000567,RJ,GRC,Grécia
2026,4,LACTEOS,0.000112,0.000508,SC,PAN,Panamá
2026,7,CSOJA,0.134795,0.205049,PR,USA,Estados Unidos
2026,7,CEREAIS,4e-05,0.000458,SP,MHL,"Marshall, Ilhas"
2026,8,CAR_OUT,2e-05,0.000232,PR,MHL,"Marshall, Ilhas"
2026,2,FRUTAS,2.4e-05,0.000109,SP,CYP,Chipre
2026,8,CHAMATE,6e-05,0.000128,ES,LBR,Libéria
2026,2,PHORTIC,2e-06,1e-05,PA,PAN,Panamá
2026,3,PFLOREST,2.7e-05,0.000997,SC,COL,Colômbia
2026,3,CAR_BOV,0.179962,0.736151,SP,SRB,Sérvia
2026,8,PHORTIC,1e-05,2.9e-05,SP,DNK,Dinamarca
2026,1,CAR_SUI,0.15805,0.445323,MS,HKG,Hong Kong
2026,8,FRUTAS,3e-06,5.2e-05,SP,MLT,Malta
2026,5,PHORTIC,4e-06,2.1e-05,SP,MLT,Malta
2026,8,CAR_SUI,7e-05,0.000188,RJ,GRC,Grécia
2026,7,PHORTIC,0.000235,0.000924,SP,SGP,Cingapura
2026,6,CAR_OUT,7e-05,0.000368,RJ,PAN,Panamá
2026,8,FIBRAS,5.070687,9.242914,SP,IND,Índia
2026,5,FIBRAS,2.625076,4.028923,BA,IDN,Indonésia
2026,6,BEBIDAS,2e-05,2e-05,AM,MEX,México
2026,3,FRUTAS,3.5e-05,7.1e-05,MA,SGP,Cingapura
2026,6,FUMO,1e-06,9.3e-05,SC,CHN,China
2026,1,SUCOS,1.947494,6.981627,PA,USA,Estados Unidos
2026,3,CAR_BOV,0.080051,0.335036,GO,SRB,Sérvia
2026,4,COUROS,0.00953,0.221219,RS,URY,Uruguai
2026,7,CAR_OUT,0.00026,0.001181,ES,PAN,Panamá
2026,8,PESCADOS,2e-05,5.8e-05,SP,GRC,Grécia
